"","abbr","STATEFP","STATENS","AFFGEOID","GEOID","STUSPS","NAME","LSAD","ALAND","AWATER","soybean.sum","state_c","state_c_abbr","X","first_name","last_name","bioguide_id","type","reelection","retire","senate_class","incumbent","party","inc_r","inc_wp","Sabato.20170510","Sabato.20170517","Sabato.20170802","Sabato.20170824","Sabato.20171116","Sabato.20180207","Sabato.20180215","Sabato.20180404","Sabato.20180509","Sabato.20180613","Sabato.20180621","Sabato.20180724","c.twoyears","c.aftertax","r_to_d","r_to_d_aftertax","d_to_r","party.c","curr.rate"
"47","WV","54","01779805","0400000US54","54","WV","West Virginia","00",62265662566,489840834,0,"西維吉尼亞州","西維吉尼亞州",97,"Joe","Manchin","M001183","sen",1,0,1,"Joe Manchin","D","Yes","Yes",3,3,3,3,3,3,3,3,4,4,4,3,0,0,0,0,0,"民主黨","兩黨拉鋸"
"12","IL","17","01779784","0400000US17","17","IL","Illinois","00",143784114293,6211277447,608960000,"伊利諾州","伊利諾州",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"未進行改選","未進行改選"
"18","MD","24","01714934","0400000US24","24","MD","Maryland","00",25150696145,6980371026,22628000,"馬里蘭州","馬里蘭州",39,"Benjamin","Cardin","C000141","sen",1,0,1,"Ben Cardin","D","Yes","TBD",1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,"民主黨","民主黨絕對優勢"
"11","ID","16","01779783","0400000US16","16","ID","Idaho","00",214048160737,2393355752,0,"愛達荷州","愛達荷州",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"未進行改選","未進行改選"
"44","VT","50","01779802","0400000US50","50","VT","Vermont","00",23873457570,1031134839,0,"佛蒙特州","佛蒙特州",91,"Bernard","Sanders","S000033","sen",1,0,1,"Bernie Sanders","I","Yes","TBD",1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,"偏民主黨獨立黨派","民主黨絕對優勢"
"6","CT","09","01779780","0400000US09","09","CT","Connecticut","00",12542619303,1815495323,0,"康乃狄克州","康乃狄克州",14,"Christopher","Murphy","M001169","sen",1,0,1,"Chris Murphy","D","Yes","TBD",1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,"民主黨","民主黨絕對優勢"
"30","NM","35","00897535","0400000US35","35","NM","New Mexico","00",314191415563,733669653,0,"新墨西哥州","新墨西哥州",64,"Martin","Heinrich","H001046","sen",1,0,1,"Martin Heinrich","D","Yes",NA,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,"民主黨","民主黨絕對優勢"
"29","NJ","34","01779795","0400000US34","34","NJ","New Jersey","00",19049723313,3542963551,4134000,"紐澤西州","紐澤西州",61,"Robert","Menéndez","M000639","sen",1,0,1,"Bob Menendez","D","Yes","Yes",2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,"民主黨","民主黨優勢"
"27","NE","31","01779792","0400000US31","31","NE","Nebraska","00",198957965731,1370523694,290195000,"內布拉斯加州","內布拉斯加州",57,"Deb","Fischer","F000463","sen",1,0,1,"Deb Fischer","R","Yes","Yes",7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,"共和黨","共和黨絕對優勢"
"36","PA","42","01779798","0400000US42","42","PA","Pennsylvania","00",115881477379,3397554419,25460400,"賓夕法尼亞州","賓州",75,"Robert","Casey","C001070","sen",1,0,1,"Bob Casey Jr.","D","Yes","Yes",2,2,2,2,2,2,2,2,2,2,1,1,-1,-1,0,0,0,"民主黨","民主黨絕對優勢"
"9","GA","13","01705317","0400000US13","13","GA","Georgia","00",149177524294,4733385577,3142400,"喬治亞州","喬治亞州",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"未進行改選","未進行改選"
"5","CO","08","01779779","0400000US08","08","CO","Colorado","00",268425964573,1178495763,0,"科羅拉多州","科羅拉多州",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"未進行改選","未進行改選"
"38","SC","45","01779799","0400000US45","45","SC","South Carolina","00",77862731483,5071381300,14063300,"南卡羅來納州","南卡羅來納州",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"未進行改選","未進行改選"
"34","OK","40","01102857","0400000US40","40","OK","Oklahoma","00",177664450004,3373087228,13567000,"奧克拉荷馬州","奧克拉荷馬州",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"未進行改選","未進行改選"
"26","ND","38","01779797","0400000US38","38","ND","North Dakota","00",178710423375,4400396641,232165500,"北達科他州","北達科他州",56,"Heidi","Heitkamp","H001069","sen",1,0,1,"Heidi Heitkamp","D","Yes","TBD",4,4,4,3,3,3,4,4,4,4,4,4,0,0,0,0,1,"民主黨","兩黨拉鋸"
"15","KY","21","01779786","0400000US21","21","KY","Kentucky","00",102266092821,2388731561,91484000,"肯塔基州","肯塔基州",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"未進行改選","未進行改選"
"49",NA,"66","01802705","0400000US66","66","GU","Guam","00",543558310,934334983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"未進行改選","未進行改選"
"31","NV","32","01779793","0400000US32","32","NV","Nevada","00",284329327067,2047350803,0,"內華達州","內華達州",65,"Dean","Heller","H001041","sen",1,0,1,"Dean Heller","R","Yes","TBD",5,5,4,4,4,4,4,4,4,4,4,4,-1,0,1,0,0,"共和黨","兩黨拉鋸"
"2","AR","05","00068085","0400000US05","05","AR","Arkansas","00",134768100673,2963631791,174156500,"阿肯色州","阿肯色州",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"未進行改選","未進行改選"
"14","KS","20","00481813","0400000US20","20","KS","Kansas","00",211753159949,1346325556,161545000,"堪薩斯州","堪薩斯州",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"未進行改選","未進行改選"
"39","SD","46","01785534","0400000US46","46","SD","South Dakota","00",196345228871,3384471850,228219000,"南達科他州","南達科他州",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"未進行改選","未進行改選"
"43","VA","51","01779803","0400000US51","51","VA","Virginia","00",102254240128,8532012665,21081600,"維吉尼亞州","維吉尼亞州",90,"Timothy","Kaine","K000384","sen",1,0,1,"Tim Kaine","D","Yes","TBD",2,2,2,2,2,1,1,1,1,1,1,1,-1,0,0,0,0,"民主黨","民主黨絕對優勢"
"10","IA","19","01779785","0400000US19","19","IA","Iowa","00",144664158135,1081293682,554944000,"愛荷華州","愛荷華州",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"未進行改選","未進行改選"
"3","AZ","04","01779777","0400000US04","04","AZ","Arizona","00",294198661567,1027245114,0,"亞利桑那州","亞利桑那州",7,"Jeff","Flake","F000444","sen",1,1,1,"Jeff Flake","R","No",NA,5,5,5,4,4,4,4,4,4,4,4,4,-1,0,1,0,0,"共和黨","兩黨拉鋸"
"37","RI","44","01219835","0400000US44","44","RI","Rhode Island","00",2677997539,1323452846,0,"羅德島州","羅德島州",77,"Sheldon","Whitehouse","W000802","sen",1,0,1,"Sheldon Whitehouse","D","Yes","TBD",1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,"民主黨","民主黨絕對優勢"
"28","NH","33","01779794","0400000US33","33","NH","New Hampshire","00",23187445452,1028643155,0,"新罕布夏州","新罕布夏州",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"未進行改選","未進行改選"
"25","NC","37","01027616","0400000US37","37","NC","North Carolina","00",125919712692,13470113896,61072700,"北卡羅來納州","北卡羅來納州",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"未進行改選","未進行改選"
"7","DE","10","01779781","0400000US10","10","DE","Delaware","00",5047241079,1398670234,3710000,"德拉瓦州","德拉瓦州",15,"Thomas","Carper","C000174","sen",1,0,1,"Tom Carper","D","Yes","TBD",1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,"民主黨","民主黨絕對優勢"
"4","CA","06","01779778","0400000US06","06","CA","California","00",403483182192,20484637928,0,"加利福尼亞州","加州",9,"Dianne","Feinstein","F000062","sen",1,0,1,"Dianne Feinstein","D","Yes","Yes",1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,"民主黨","民主黨絕對優勢"
"46","WI","55","01779806","0400000US55","55","WI","Wisconsin","00",140275464079,29359527964,94014900,"威斯康辛州","威斯康辛州",95,"Tammy","Baldwin","B001230","sen",1,0,1,"Tammy Baldwin","D","Yes","TBD",3,3,3,3,3,3,3,3,3,3,2,2,-1,-1,0,0,0,"民主黨","民主黨優勢"
"35","OR","41","01155107","0400000US41","41","OR","Oregon","00",248604328809,6195045325,0,"奧勒岡州","奧勒岡州",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"未進行改選","未進行改選"
"45","WA","53","01779804","0400000US53","53","WA","Washington","00",172111800165,12560067439,0,"華盛頓州","華盛頓州",93,"Maria","Cantwell","C000127","sen",1,0,1,"Maria Cantwell","D","Yes","TBD",1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,"民主黨","民主黨絕對優勢"
"16","LA","22","01629543","0400000US22","22","LA","Louisiana","00",111904803121,23746413153,65092000,"路易斯安那州","路易斯安那州",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"未進行改選","未進行改選"
"42","UT","49","01455989","0400000US49","49","UT","Utah","00",212884846341,7000199770,0,"猶他州","猶他州",87,"Orrin","Hatch","H000338","sen",1,1,1,"Orrin Hatch","R","No",NA,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,"共和黨","共和黨絕對優勢"
"33","OH","39","01085497","0400000US39","39","OH","Ohio","00",105833282399,10264451012,247152000,"俄亥俄州","俄亥俄州",69,"Sherrod","Brown","B000944","sen",1,0,1,"Sherrod Brown","D","Yes","Yes",3,3,3,3,3,3,3,3,3,2,2,2,-1,-1,0,0,0,"民主黨","民主黨優勢"
"41","TX","48","01779801","0400000US48","48","TX","Texas","00",676641930188,19017521093,2470000,"德克薩斯州","德州",86,"Ted","Cruz","C001098","sen",1,0,1,"Ted Cruz","R","Yes","Yes",6,6,6,6,6,6,6,6,6,6,6,6,0,0,0,0,0,"共和黨","共和黨優勢"
"40","TN","47","01325873","0400000US47","47","TN","Tennessee","00",106798015774,2354836197,72249500,"田納西州","田納西州",83,"Bob","Corker","C001071","sen",1,1,1,"Bob Corker","R","No",NA,7,7,7,7,6,6,6,6,5,5,5,5,-2,-1,0,0,0,"共和黨","共和黨些微優勢"
"54",NA,"69","01779809","0400000US69","69","MP","Commonwealth of the Northern Mariana Islands","00",472284356,4644260632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"未進行改選","未進行改選"
"32","NY","36","01779796","0400000US36","36","NY","New York","00",122048992746,19247151848,11262600,"紐約州","紐約州",67,"Kirsten","Gillibrand","G000555","sen",1,0,1,"Kirsten Gillibrand","D","Yes","TBD",1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,"民主黨","民主黨絕對優勢"
"19","ME","23","01779787","0400000US23","23","ME","Maine","00",79885808421,11748168571,0,"緬因州","緬因州",42,"Angus","King","K000383","sen",1,0,1,"Angus King","I","Yes","TBD",3,2,2,2,2,2,2,1,1,1,1,1,-2,0,0,0,0,"偏民主黨獨立黨派","民主黨絕對優勢"
"50",NA,"60","01802701","0400000US60","60","AS","American Samoa","00",197759070,1307243753,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"未進行改選","未進行改選"
"20","MI","26","01779789","0400000US26","26","MI","Michigan","00",146488062160,103998746281,92473000,"密西根州","密西根州",43,"Debbie","Stabenow","S000770","sen",1,0,1,"Debbie Stabenow","D","Yes","TBD",2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,"民主黨","民主黨優勢"
"24","MT","30","00767982","0400000US30","30","MT","Montana","00",376960880222,3871059371,0,"蒙大拿州","蒙大拿州",51,"Jon","Tester","T000464","sen",1,0,1,"Jon Tester","D","Yes","Yes",3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,"民主黨","民主黨些微優勢"
"13","IN","18","00448508","0400000US18","18","IN","Indiana","00",92787765193,1539541677,316681000,"印第安納州","印第安納州",29,"Joe","Donnelly","D000607","sen",1,0,1,"Joe Donnelly","D","Yes","Yes",4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,1,"民主黨","兩黨拉鋸"
"52",NA,"72","01779808","0400000US72","72","PR","Puerto Rico","00",8868734851,4922543816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"未進行改選","未進行改選"
"17","MA","25","00606926","0400000US25","25","MA","Massachusetts","00",20204287539,7130763257,0,"馬薩諸塞州","馬薩諸塞州",38,"Elizabeth","Warren","W000817","sen",1,0,1,"Elizabeth Warren","D","Yes","TBD",1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,"民主黨","民主黨絕對優勢"
"51",NA,"11","01702382","0400000US11","11","DC","District of Columbia","00",158351639,18675956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"未進行改選","未進行改選"
"48","WY","56","01779807","0400000US56","56","WY","Wyoming","00",251465641446,1860628076,0,"懷俄明州","懷俄明州",99,"John","Barrasso","B001261","sen",1,0,1,"John Barrasso","R","Yes","TBD",7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,"共和黨","共和黨絕對優勢"
"23","MS","28","01779790","0400000US28","28","MS","Mississippi","00",121530256608,3930182746,112165000,"密西西比州","密西西比州",50,"Cindy","Hyde-Smith","H001079","sen",1,0,2,"Cindy Hyde-Smith*","R","Yes",NA,6,6,6,6,6,6,6,6,6,6,6,6,0,0,0,0,0,"共和黨","共和黨優勢"
"8","FL","12","00294478","0400000US12","12","FL","Florida","00",138911437206,31398800291,0,"佛羅里達州","佛州",17,"Bill","Nelson","N000032","sen",1,0,1,"Bill Nelson","D","Yes","TBD",3,3,3,3,4,4,4,4,4,4,4,4,1,0,0,0,1,"民主黨","兩黨拉鋸"
"21","MN","27","00662849","0400000US27","27","MN","Minnesota","00",206229176104,18944967530,375326000,"明尼蘇達州","明尼蘇達州",45,"Amy","Klobuchar","K000367","sen",1,0,1,"Amy Klobuchar","D","Yes","TBD",2,1,1,1,1,1,1,1,1,1,1,1,-1,0,0,0,0,"民主黨","民主黨絕對優勢"
"1","AL","01","01779775","0400000US01","01","AL","Alabama","00",131174431216,4592944701,14463500,"阿拉巴馬州","阿拉巴馬州",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"未進行改選","未進行改選"
"22","MO","29","01779791","0400000US29","29","MO","Missouri","00",178052037005,2488190402,242569900,"密蘇里州","密蘇里州",47,"Claire","McCaskill","M001170","sen",1,0,1,"Claire McCaskill","D","Yes","TBD",4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,1,"民主黨","兩黨拉鋸"
"53",NA,"78","01802710","0400000US78","78","VI","United States Virgin Islands","00",348013711,1550244357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"未進行改選","未進行改選"
